City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,meadow lake,34.8014,-106.5436,33.04,22,42,2.91,US,1691611128
229,trairi,-3.2778,-39.2689,26.75,75,98,6.03,BR,1691611049
230,benguela,-12.5763,13.4055,20.3,82,88,0.91,AO,1691610793
231,saudarkrokur,65.7461,-19.6394,7.11,82,59,5.68,IS,1691611129
232,belyy yar,53.6039,91.3903,19.24,60,99,1.43,RU,1691611129
233,chicoana,-25.1009,-65.5331,25.03,20,52,2.9,AR,1691611129
234,rohri,27.6922,68.8951,32.93,55,41,5.14,PK,1691611129
235,tura,25.5198,90.2201,23.56,98,100,0.88,IN,1691610754
236,nishinoomote,30.7333,131.0,27.56,86,100,9.33,JP,1691610816
237,ghat,24.9647,10.1728,32.61,13,0,7.01,LY,1691611130
238,iskateley,67.6803,53.1512,13.01,81,44,2.3,RU,1691610753
239,banjarmasin,-3.3244,114.591,22.08,88,67,1.24,ID,1691611130
240,la maddalena,41.2142,9.4083,24.03,82,23,7.07,IT,1691611120
241,opuwo,-18.0607,13.84,18.77,35,22,3.03,NA,1691611130
242,an nuhud,12.7,28.4333,28.31,51,10,3.72,SD,1691611130
243,faruka,31.8872,72.4144,35.49,35,10,5.45,PK,1691611130
244,axim,4.8699,-2.2405,24.32,84,92,5.22,GH,1691611130
245,lebu,-37.6167,-73.65,12.24,92,100,10.07,CL,1691610618
246,aldan,58.6031,125.3894,13.95,79,95,3.58,RU,1691611131
247,xining,36.6167,101.7667,17.02,86,65,1.16,CN,1691611131
248,bacalar,18.6667,-88.3833,34.67,45,44,3.72,MX,1691611131
249,san antonio de pale,-1.4014,5.6325,23.76,81,94,5.3,GQ,1691610800
250,qiziltepa,40.0331,64.85,27.75,28,0,4.2,UZ,1691611131
251,bubaque,11.2833,-15.8333,27.34,82,61,3.39,GW,1691610808
252,howrah,22.5892,88.3103,29.0,89,100,3.6,IN,1691610792
253,st. john's,47.5649,-52.7093,15.44,83,75,5.66,CA,1691610779
254,santaella,37.5629,-4.8436,33.91,30,8,2.97,ES,1691611131
255,rizokarpaso,35.6,34.375,26.76,75,0,3.57,CY,1691611132
256,tazacorte,28.629,-17.9293,24.54,88,0,6.17,ES,1691610819
257,vidyayevo,69.3191,32.8049,17.86,78,0,0.49,RU,1691611132
258,barranca,-10.75,-77.7667,21.1,69,26,4.55,PE,1691611132
259,geraldton,-28.7667,114.6,9.23,87,100,2.57,AU,1691610550
260,sretensk,52.2453,117.7093,14.63,64,79,1.29,RU,1691611132
261,la sarre,48.8002,-79.1996,24.36,44,96,5.36,CA,1691610910
262,darovskoy,58.77,47.9564,17.39,83,8,1.64,RU,1691611132
263,nova vicosa,-17.8919,-39.3719,23.48,72,4,3.67,BR,1691610703
264,grootfontein,-19.5667,18.1167,17.76,29,99,2.06,NA,1691611133
265,uturoa,-16.7333,-151.4333,24.9,70,11,8.42,PF,1691610647
266,igarka,67.4667,86.5833,13.46,97,95,3.32,RU,1691610825
267,iqaluit,63.7506,-68.5145,4.85,93,100,3.6,CA,1691610765
268,nizhnegorskiy,45.4479,34.7384,21.76,55,26,2.61,UA,1691611133
269,prado,-17.3411,-39.2208,23.01,74,2,3.23,BR,1691610802
270,kalemie,-5.9475,29.1947,22.39,55,10,0.88,CD,1691611133
271,al 'amarah,31.8406,47.1396,40.51,11,3,4.24,IQ,1691611133
272,bintulu,3.1667,113.0333,25.23,88,20,2.68,MY,1691611133
273,plastun,44.7561,136.2939,16.5,98,100,1.87,RU,1691611133
274,tarma,-11.4197,-75.6908,16.78,56,45,6.47,PE,1691611133
275,inirida,3.8653,-67.9239,32.81,52,51,1.27,CO,1691611134
276,chonchi,-42.6128,-73.8092,10.56,97,100,3.31,CL,1691610754
277,toliara,-23.35,43.6667,20.97,79,0,5.84,MG,1691611134
278,northam,51.0333,-4.2167,18.47,94,87,1.65,GB,1691610818
279,labrador city,52.9463,-66.9114,12.95,94,100,4.63,CA,1691610813
280,port augusta,-32.5,137.7667,8.97,89,2,2.99,AU,1691610788
281,takahagi,36.7167,140.7167,26.16,98,18,0.45,JP,1691611134
282,kirakira,-10.4544,161.9205,24.98,89,100,3.7,SB,1691610811
283,ticleni,44.8833,23.4,20.3,49,100,1.81,RO,1691611134
284,kavaratti,10.5669,72.642,28.25,76,100,6.97,IN,1691610749
285,isangel,-19.55,169.2667,20.06,72,48,6.94,VU,1691611134
286,saki,8.6667,3.3833,21.55,97,100,3.22,NG,1691611135
287,bulolo,-7.2,146.65,21.13,96,100,0.22,PG,1691611135
288,fada,9.5667,8.3,20.27,96,65,1.18,NG,1691610755
289,elizabethton,36.3487,-82.2107,28.65,64,75,1.54,US,1691610961
290,ta`u,-14.2336,-169.5144,27.07,75,7,4.63,AS,1691610991
291,nikolayevsk-on-amure,53.1406,140.73,12.12,93,78,1.28,RU,1691611135
292,vol'sk,52.0333,47.3833,22.07,44,32,2.38,RU,1691611135
293,porbandar,21.6422,69.6093,27.01,83,100,8.24,IN,1691610961
294,kapa'a,22.0752,-159.319,29.99,75,75,9.77,US,1691610774
295,ouahigouya,13.5828,-2.4216,28.25,60,96,1.21,BF,1691611136
296,harstad,68.799,16.5293,20.66,71,40,2.49,NO,1691610771
297,klyuchi,52.2667,79.1667,20.48,44,89,2.62,RU,1691610761
298,vorkuta,67.5,64.0,8.52,82,49,2.97,RU,1691611136
299,liezen,47.5667,14.2333,13.71,98,100,1.24,AT,1691611136
300,callao,-12.0667,-77.15,22.16,68,100,4.63,PE,1691610727
301,hanover,52.3705,9.7332,16.98,67,75,3.09,DE,1691610849
302,kodinsk,58.6881,99.1844,14.21,86,28,1.37,RU,1691611136
303,saeby,57.3319,10.5225,12.2,73,100,9.71,DK,1691611136
304,pemba,-12.974,40.5178,24.39,88,20,7.72,MZ,1691611136
305,sabalgarh,26.25,77.4,27.38,73,94,5.59,IN,1691611137
306,eastham,41.8301,-69.9739,29.01,59,0,2.06,US,1691610973
307,mahibadhoo,3.7833,72.9667,27.81,78,100,5.86,MV,1691610766
308,itaituba,-4.2761,-55.9836,36.09,52,20,3.09,BR,1691611137
309,nemuro,43.3236,145.575,18.72,100,100,6.04,JP,1691610653
310,berber,18.0216,33.983,33.42,40,97,3.87,SD,1691611137
311,namie,37.4833,141.0,25.55,92,18,5.08,JP,1691611137
312,new norfolk,-42.7826,147.0587,13.29,75,100,2.84,AU,1691610773
313,jiangyou,31.7667,104.7167,24.78,89,60,1.54,CN,1691611137
314,turan,16.0678,108.2208,27.99,78,20,1.03,VN,1691610817
315,eraan,9.0629,117.7016,26.11,89,70,3.1,PH,1691610780
316,manokwari,-0.8667,134.0833,25.17,74,100,1.79,ID,1691611138
317,rundu,-17.9333,19.7667,19.53,27,86,3.38,NA,1691611138
318,yarkovo,57.4028,67.0786,15.5,92,97,2.23,RU,1691611138
319,thisted,56.9552,8.6949,12.86,74,98,11.03,DK,1691611138
320,qingdao,36.0986,120.3719,22.78,100,0,2.0,CN,1691611138
321,kamikawa,43.84,142.7711,22.36,96,40,1.8,JP,1691611138
322,muravlenko,63.7898,74.523,10.74,67,100,10.07,RU,1691611138
323,mao,39.8885,4.2658,25.31,78,0,2.06,ES,1691610778
324,dzagam,40.9033,45.8856,28.85,43,0,1.56,AZ,1691611139
325,baryshivka,50.361,31.3217,16.95,50,10,2.62,UA,1691611139
326,el calafate,-50.3408,-72.2768,3.33,87,32,1.86,AR,1691610790
327,katsuura,35.1333,140.3,26.06,88,64,4.49,JP,1691611139
328,yuxi,24.355,102.5422,18.42,98,100,0.6,CN,1691611139
329,merizo village,13.2658,144.6691,26.31,96,100,8.4,GU,1691611139
330,kafanchan,9.5833,8.3,20.39,96,64,1.24,NG,1691611139
331,naxos,37.1056,25.3764,26.84,71,0,9.83,GR,1691611139
332,orcopampa,-15.2661,-72.3417,14.86,30,79,4.89,PE,1691611139
333,cheboksary,56.1322,47.2519,20.33,68,0,2.0,RU,1691611140
334,luderitz,-26.6481,15.1594,23.63,44,71,3.79,NA,1691610822
335,remire-montjoly,4.9167,-52.2667,31.02,66,0,5.66,GF,1691610777
336,nadi,-17.8,177.4167,22.0,83,75,2.06,FJ,1691611140
337,arkhangel'sk,64.5401,40.5433,16.71,79,3,2.11,RU,1691610766
338,wickenburg,33.9686,-112.7296,38.43,28,3,5.67,US,1691611140
339,lata,40.1629,-8.3327,18.15,84,0,1.53,PT,1691611140
340,hammerfest,70.6634,23.6821,23.25,64,0,1.54,NO,1691610798
341,parambu,-6.2111,-40.6944,29.79,35,17,3.22,BR,1691611140
342,revda,56.801,59.9303,15.31,80,73,1.09,RU,1691611140
343,jimo,36.3897,120.4622,22.88,100,0,2.0,CN,1691611141
344,klaksvik,62.2266,-6.589,9.51,74,39,7.85,FO,1691611141
345,naze,28.3667,129.4833,25.51,88,76,5.68,JP,1691611141
346,tut,37.7953,37.9161,28.22,29,0,2.37,TR,1691611141
347,kreminna,49.0495,38.2179,21.39,54,33,4.35,UA,1691611141
348,roma,43.2128,-75.4557,27.68,56,40,7.2,US,1691611141
349,yekaterinoslavka,50.3734,129.1139,15.89,91,100,3.66,RU,1691611141
350,alo,7.4178,6.7371,23.59,96,91,1.68,NG,1691611142
351,chibougamau,49.9168,-74.3659,22.79,49,20,2.57,CA,1691611142
352,broome,42.2506,-75.833,26.77,70,40,3.09,US,1691611142
353,bardai,11.65,7.2333,23.27,87,100,3.46,NG,1691610647
354,san luis de la loma,17.2706,-100.8939,29.81,78,100,1.89,MX,1691610757
355,susuman,62.7833,148.1667,6.73,90,92,1.0,RU,1691610759
356,caleta olivia,-46.4393,-67.5281,15.43,51,100,10.02,AR,1691611143
357,bac lieu,9.285,105.7244,26.67,84,7,4.51,VN,1691611143
358,yelizovo,53.1873,158.3805,12.08,87,0,2.0,RU,1691610952
359,balkanabat,39.5108,54.3671,33.61,20,0,2.89,TM,1691611143
360,nhamunda,-2.1861,-56.7131,35.72,34,44,2.7,BR,1691611144
361,luganville,-15.5333,167.1667,20.68,91,100,4.26,VU,1691611144
362,pihani,27.6333,80.2,26.25,86,100,0.86,IN,1691611144
363,moissala,8.3404,17.7663,20.49,99,99,1.14,TD,1691611144
364,shymkent,42.3,69.6,24.33,50,0,4.0,KZ,1691611144
365,zapolyarnyy,69.4154,30.8136,22.6,73,1,1.95,RU,1691611145
